Modern	Original	Frequency in original
transporte	transporte	1
exterior	exterior	1
treze	treze	3
tiverem	tiverem	13
pesada	pezada	1
falta	falta	2
apetite	appetite	2
disso	disso	2
inflamatória	inflammatoria	3
inflamatória	infammatoria	1
tratada	tratada	1
pesar	pezar	3
sucedem	succedem	2
dura	dura	4
casos	casos	7
pedem	pedem	2
atenção	attençaõ	6
exemplo	exemplo	2
ficarem	ficarem	1
queixando	queixando	1
dores	dôres	6
dores	dores	6
reluzentes	reluzentes	1
maçãs	maçãas	1
maçãs	maçans	1
maçãs	maçãs	1
resplandecente	resplandecente	1
anuncia	annuncia	2
hemorragia	hemorrhagia	2
maçã	maçã	1
venta	venta	1
onde	onde	3
estiver	estiver	16
vermelha	vermelha	1
oposta	opposta	1
ventas	ventas	2
dícroto	dicroto	1
bate	bate	1
pulsação	pulsaçaõ	1
atenderem	attenderem	1
poderão	poderáõ	1
poderão	poderaõ	2
seguramente	seguramente	1
prognosticar	prognosticar	1
vê-la	vê-la	1
chegar	chegar	5
ponto	ponto	1
dado	dado	2
admiração	admiraçaõ	3
assistentes	assistentes	2
sucedido	succedido	2
pareça	pareça	2
terminar	terminar	1
sucede	succede	9
saiam	sahiaõ	1
repente	repente	4
param	paraõ	1
supra	suppra	1
incorrem	incorrem	1
acidente	accidente	1
produzido	produzido	3
erro	erro	5
contra	contra	9
terem	terem	3
exposto	exposto	1
tomado	tomado	1
imprudentemente	imprudentemente	1
conselho	conselho	3
quem	quem	7
trata	trata	2
excitar	excitar	1
entregado	entregado	1
paixão	paixaõ	1
violenta	violenta	2
alterar	alterar	1
revoltar	revoltar	1
suceda	succeda	1
provocar	provocar	1
chamar	chamar	3
adiantada	adiantada	2
robustos	robustos	3
lançaram	lançaraõ	1
eram	eraõ	8
eram	erão	1
tintos	tinctos	3
for	fôr	7
for	fór	1
for	fòr	1
for	for	20
assaz	assás	3
ordenar	ordenar	3
copiosa	copiosa	1
fomentações	fomentações	4
emolientes	emollientes	2
inspiração	inspizaçaõ	1
administrados	administrados	1
prontamente	promptamente	2
restabelecem	restabelecem	1
continuar	continuar	5
torna	torna	2
curso	curso	2
idosos	idosos	1
sangrados	sangrados	1
novas	novas	1
sim	fim	2
sim	sim	3
bebidas	bebidas	2
dando-lhe	dando-lhe	1
dando-lhe	dandolhe	3
ajuntarão	ajuntaraõ	1
grãos	grãos	3
kermes	kermes	2
mineral	mineral	1
emplastro	emplastro	6
cantarias	cantharidas	2
largura	largura	1
palma	palma	1
24	24	3
vendo	vendo	5
saírem	sahirem	1
bordas	bordas	1
sepultura	sepultura	2
vesicatório	vesicatorio	1
circunstâncias	circunstancias	5
posso	posso	2
recomendar	recommendar	1
estenderei	estenderei	1
terminação	terminaçaõ	1
nem	nem	37
vômicas	vomicas	1
consequências	confequencias	1
consequências	consequencias	1
chegarem	chegarem	1
porto	porto	1
médicos	medicos	17
médicos	médicos	1
iluminados	illuminados	1
guiarão	guiaráõ	1
socorro	soccorro	2
impossível	impossivel	1
procurassem	procurassem	1
conhece	conhece	3
chama	chama	6
podre	podre	5
biliosa	biliosa	2
pontada	pontada	9
lado	lado	14
chama-se	chama-se	2
bilioso	bilioso	2
tratando	t'ratando	1
trato	trato	1
demora	demora	2
distinguir	distinguir	2
isso	isso	7
isso	islo	1
amarga	amarga	2
saburrosa	saburrosa	4
acre	acre	2
seco	secco	1
seco	seco	1
umidade	humidade	1
incômodo	incommodo	1
arredores	arredores	1
desejos	desejos	8
peripneunonia	peripneunonia	1
amarelo	amarello	1
desfigurado	desfigurado	1
cólera	cólera	1
pequena	pequena	1
ferida	ferida	1
quase	quasi	9
quase	quase	1
aqui	aqui	3
adiante	adiante	2
venham	venhaõ	2
dureza	dureza	4
cuidar-se-á	cuidar-se-ha	1
largas	largas	3
costuma	costuma	3
receio	receio	1
receio	receyo	1
ocasionar	occasionar	1
vista	vista	1
sanguíneos	sanguíneos	1
sanguíneos	sanguineos	1
amolecer	amollecer	2
pulo	pulo	1
pulo	pullo	1
dar-se-lhe-ão	dar-se-lhe-haõ	2
cremor	cremor	1
tártaro	tartaro	5
fará	fará	14
vaso	vaso	3
derreta	derreta	1
misturará	misturará	1
mel	mel	1
servirão	serviraõ	1
preparo	preparo	1
dois	dous	17
dois	dois	1
amolecido	amollecido	3
aproveitar-nos-emos	aproveitar-nos-hemos	1
declinação	declinaçaõ	7
21	21	1
11	11	2
atenda	attenda	1
dá-los	da-los	1
inflamatórios	inflammatorios	1
dissipado	dissipado	1
pessoa	pessoa	7
nimiamente	nimiamente	1
cheio	cheio	6
cheio	chêo	1
cheio	cheyo	2
cujos	cujos	1
estouram	estouraõ	1
esforço	esforço	1
praticar	praticar	2
cirurgiões	cirurgiões	2
porém	pôrem	1
porém	porém	1
porém	porèm	12
morte	morte	6
serem	serem	4
reputados	reputados	1
homicidas	homicidas	1
desejado	desejado	2
passado	passado	3
purgar-se-á	purgar-se-ha	2
14	14	3
humor	humor	6
aplicar-se-ão	applicar-se-haõ	1
único	unico	2
progressos	progressos	1
evitar	evitar	8
funestas	funestas	1
funestas	fumestas	1
reuni	reuni	1
diferem	differem	1
reconhecem	reconhecem	1
compliquem	compliquem	1
juntamente	juntamente	2
única	unica	1
diferença	diferença	3
lados	lados	1
cima	cima	3
cima	sima	4
mama	mamma	2
aguda	aguda	2
punctória	punctoria	1
redobra	redobra	1
tossem	tossem	1
distendido	distendido	1
fura	fura	1
espada	espada	2
propriamente	propriamente	2
observam	observaõ	1
agora	agora	1
vou	vou	1
examinar	examinar	2
variam	variaõ	1
darão	daraõ	2
conhecimento	conhecimento	2
clareza	clareza	1
conduzir	conduzir	1
metodicamente	methodicamente	1
direi	direi	1
direi	direy	1
primeiro	primeiro	22
primeiro	primero	1
sentir	sentir	3
acometimento	acomettimento	1
acometimento	acometamento	1
tarda	tarda	1
manifestar	manifestar	1
pontadas	pontadas	1
passa	passa	2
direito	direito	7
esquerdo	esquerdo	4
fique	fique	7
sobe	sóbe	1
encaminha-se	encaminha-se	1
trás	traz	1
espádua	espadoa	2
atender	attender	3
mudanças	mudanças	1
suceder	succeder	2
prova	proxa	1
prova	prova	2
deu	deu	1
dobrar	dobrar	1
poupar	poupar	1
auxílios	auxilios	1
durado	durado	1
modere	modere	1
cesse	cesse	1
acém	achem	1
vêm-se	vêm-se	1
abatidas	abatidas	1
fazem-se	fazem-se	1
pálidos	pódem	1
apenas	apenas	1
mexer	mexer	1
intermitente	intermittente	5
disparates	disparates	1
respondem	respondem	1
exatamente	exactamente	1
perguntas	perguntas	2
coisas	couzas	1
coisas	cousas	6
ligação	ligaçaõ	1
aparecer	apparecer	1
reanimar	reanimar	1
cataplasma	cataplasma	1
estimulante	estimulante	1
fermento	fermento	2
pimenta	pimenta	1
mostarda	mostarda	1
9	9	2
procuram	procuraõ	1
tirá-los	tira-los	1
princípios	principios	1
achado	achado	4
satisfeito	satisfeito	1
10	10	2
aliviados	alliviados	1
posto	posto	4
subsista	subsista	1
multiplicar	multiplicar	2
necessidade	necessidade	5
multiplicadas	multiplicadas	2
disto	disto	1
curem	curem	1
morram	morraõ	1
lanceta	lanceta	1
convenho	convenho	1
persistirem	persistirem	1
sangrar	sangrar	15
conserve	conserve	2
sou	sou	3
voto	voto	1
vale	vale	1
expô-los	expo-los	1
morrer	morrer	3
fazendo	fazendo	5
excessivo	excessivo	1
observado	observado	2
copiosas	copiosas	1
chegadas	chegadas	1
acalmado	acalmado	1
leve	leve	3
melada	melada	1
10.	10.	2
bastão	bastaõ	2
avizinhá-las	avizinha-las	1
vivas	vivas	2
nunca	nunca	4
pés	pés	6
pés	pès	9
violentas	violentas	2
indiquei	indiquei	1
falso	falso	1
verdadeiro	verdadeiro	3
puramente	puramente	1
assento	assento	1
músculos	musculos	1
falar	fallar	2
falar	falar	1
reumática	rheumatica	1
lança	lança	1
produz	produz	1
nelas	nellas	3
reumatismo	rheumatismo	1
começar	começar	1
imediatamente	immediatamente	3
dorida	dorida	2
4.	4.	2
passe	passe	1
diminuído	diminuido	2
aplicar-se-á	applicar-se-ha	1
viii	viii	1
remitentes	remittentes	7
produzidas	produzidas	1
corruptas	corruptas	5
demoradas	demoradas	1
intestinos	intestinos	3
pâncreas	pancreas	1
glândulas	glandulas	1
entram	entraõ	2
textura	textura	1
mesentério	mesenterio	1
barriga	barriga	1
descrevi	descrevi	1
equipagens	equipagens	1
mercantes	mercantes	1
antecipadamente	anticipadamente	1
incômodos	incómmodos	1
saborosa	saborosa	1
lassidões	lassidões	1
interiormente	interiormente	1
complicadas	complicadas	1
disposição	disposiçaõ	4
examinando	examinando	1
convém	convém	1
mole	molle	1
passar	passar	1
vomitam	vomitaõ	1
espontaneamente	espontaneamente	1
sede	sede	2
amarga-lhe	amarga-lhe	1
urinam	ourinaõ	1
continua	continua	3
continua	continúa	1
noite	noite	5
acaba	acaba	1
manhã	manhã	6
cômoda	cómmoda	1
aumento	augmento	1
crescimento	crescimento	20
crescimento	crefcimento	1
manifesta-se	manifeita-se	1
precedido	precedido	1
regulado	regulado	1
sorte	sorte	5
aquele	aquelle	3
corresponde	corresponde	2
correspondência	correspondencia	2
estabelecer	estabelecer	1
analogia	analogia	1
sezões	sezões	4
sezões	cezões	1
haver	haver	4
haver	aver	1
tranquilidade	trarquilidade	1
tranquilidade	tranquilidade	1
repouso	repouso	1
limpo	limpo	2
variação	variaçaõ	1
variar	variar	2
abandonadas	abandonadas	1
mesmas	mesmas	3
tratadas	tratadas	2
superiores	superiores	2
qual	qual	16
marcha	marcha	2
ordinária	ordinaria	1
vai	vai	4
vai	vay	2
aumentando	augmentando	2
fortes	fortes	1
compridos	compridos	1
falam	fallaõ	1
dormindo	dormindo	2
seguem	seguem	1
diferente	differente	1
persiste	persiste	1
seis	seis	11
descrito	descrito	1
aumentar	augmentar	2
limpando	limpando	1
termina-se	termina-se	1
descargas	descargas	1
seguir	seguir	2
vermelhidão	vermelhidaõ	1
sanguínea	sanguinea	1
moço	moço	3
robusto	robusto	2
vigoroso	vigoroso	1
infamatória	infammatoria	1
junta	junta	4
farão	faraô	1
ímpeto	impeto	1
estender	estender	1
subsistirem	subsistirem	1
aumentarem	augmentarem	1
veja	veja	2
obrigado	obrigado	2
evacuar	evacuar	2
fraca	fraca	1
suspeitar	suspeitar	2
diminuindo	diminuindo	3
desenchendo	desenchendo	1
veias	vêas	1
veias	veas	3
daria	daria	1
passarem	passarem	1
vias	vias	2
sangre	sangre	3
pôr-se-á	pôr-se-ha	2
tisanas	tisanas	1
tomará	tomará	3
mesinha	mezinha	1
feita	feita	3
simplesmente	simplesmente	1
ajuntará	ajuntará	1
azeite	azeite	2
obre	obre	2
naturalmente	naturalmente	1
tomara	tomara	1
copo	cópo	1
copo	copo	1
prefiro	prefiro	1
hoje	hoje	3
convencidos	convencidos	1
sucos	succos	1
extraem	extrahem	1
corrompem	corrompem	1
extraídos	extrahidos	1
vegetais	vegetaes	1
regime	regime	1
umectante	humectante	1
diluir	diluir	1
despegar	despegar	1
aproveitar-se-á	aproveitar-se-ha	1
sossego	socego	1
segue	segue	2
deverá	deverá	1
preferir	preferir	1
indicados	indicados	1
náuseas	nauseas	1
amargosa	amargosa	2
pastacea	pastacea	1
provocar-se-á	provecar-se-ha	1
ação	acçaõ	2
beberão	beberaõ	1
beberão	bebéraõ	1
beberão	beberáõ	1
copos	cópos	2
copos	copos	3
vomitado	vomitado	1
preocupação	preoccupaçaõ	1
emético	emetico	4
irritar	irritar	1
propõe	propõe	1
tremer	tremer	1
saber	saber	4
porquê	porque	1
gostaria	gostaria	1
contudo	comtudo	2
poder	poder	4
desenganar	desenganar	1
compreender	comprehender	1
recear	recear	2
tomando	tomando	3
preparado	preparado	1
afogado	affogado	1
modera	modera	1
fá-la	fa-la	1
suave	suave	2
aqueles	aquelles	2
tomam	tomaõ	2
fatiguem	fatiguem	1
vomitem	vomitem	1
quiserem	quizerem	1
concordo	concordo	1
recheado	recheado	1
tardado	tardado	1
administrar	administrar	1
julgue	julgue	1
concussões	concussões	1
choques	choques	1
produzem	produzem	2
oponha	opponha	1
evacuam	evacuaõ	2
muita	muita	5
fadiga	fadiga	1
sustentar-se-ão	sustentar-se-haõ	1
purgando	purgando	4
laxantes	laxantes	1
evacuado	evacuado	3
sabor	sabor	1
continuam	continuaõ	1
repeti-lo	repeti-lo	1
impedem	impedem	1
conheça	conheça	1
prudente	prudente	3
simples	simples	1
simples	simplez	2
purgante	purgante	3
meteorismo	meteorismo	1
elevação	elevaçaõ	2
inchado	inchado	1
sobressaltos	sobresaltos	1
tendões	tendões	1
pulsos	pulsos	3
viscosas	viscosas	1
acumula	accumulaõ	1
suprir	supprir	2
purgantes	purgantes	1
mezinhas	mezinhas	1
17	17	2
pôs	põs	1
metendo	metendo	1
metendo	mettendo	1
intervalo	intervallo	1
moderem	moderem	1
ponha	ponha	1
bastantemente	bastantemente	1
conservam	conservaõ	1
livre	livre	3
desfazem	desfazem	1
despegam	despegaõ	1
infinitamente	infinitamente	1
diminui	diminue	1
tesura	tesura	1
prepara	prepara	1
semelhantes	similhantes	1
semelhantes	semelhantes	4
libras	libras	1
preparada	preparada	2
tomada	tomada	1
forma	forma	4
forma	fórma	21
fundia	fundia	1
fazia	fazia	3
produzia	produzia	1
inconvenientes	inconvenientes	1
sensivelmente	sensivelmente	1
purgar	purgar	6
usando	usando	1
meios	meios	1
cessará	cessará	1
tornar-se-á	tornar-se-ha	1
restabelecer	restabelecer	1
resta	resta	1
comerá	comerá	1
sopa	sopa	1
irá	irá	1
irá	hirá	3
continuando	continuando	3
tornará	tornará	1
recair	recahir	2
reservados	reservados	1
acautelados	acautelados	1
expõem	expõem	1
chuva	chuva	1
humidade	humidade	1
desprezam	desprezaõ	2
recaem	recahem	1
daquelas	daquellas	1
preservarem	preservarem	1
excessos	excessos	1
frutos	fructos	1
maduros	maduros	1
sadios	sadios	1
fugiram	fugiraõ	1
orvalho	orvalho	1
sol	sol	3
nascer	nascer	1
abster-se-ão	abster-se-haõ	2
sustento	sustento	1
gerar	gerar	1
corrupções	corrupções	1
calores	calores	1
melhores	melhores	3
estômagos	estomagos	3
digerem	digerem	1
dificultosamente	difficultosamente	1
essencial	essencial	1
vigiar	vigiar	1
fato	facto	1
fato	fato	2
atacam	atacaõ	1
ocasião	occasiaõ	1
embaraçada	embaraçada	2
saburra	saburra	1
predispõe	predispõe	1
fazê-las	faze-las	1
principal	principal	2
faltado	faltado	1
preceitos	preceitos	2
demasiadamente	demaziadamente	1
conservar-se-ão	conservar-se-haõ	1
declarar	declarar	1
vulnerárias	vulnerarias	1
suíça	suissia	1
abstinência	abstinencia	1
bastar	bastar	2
desembaraçar	desembaraçar	1
desembaraçará	desembaraçará	1
prevenirá	prevenirá	1
observação	observaçam	3
observação	observaçaõ	1
xlii	xlii	2
causada	causada	1
enchimento	enchimento	5
deram	deraõ	2
degenerou	degenerou	1
venenosa	venenosa	12
chegou	chegou	1
ungido	ungido	2
certamente	certamente	3
morreria	morreria	1
acudira	acudira	1
meu	meu	20
bezoártico	bezoartico	20
cuja	cuja	4
solutiva	solutiva	1
cardíaca	cardiaca	1
lentamente	lentamente	3
danosos	damnosos	1
rebatendo	rebatendo	2
caminho	caminho	1
livrei	livrei	1
estando	estando	16
metido	metido	2
1	1	5
–	–	1
haverá	averá	1
haverá	haverá	2
médico	medico	39
falto	falto	1
ciência	sciencia	1
ignore	ignore	1
galeno	galeno	4
i	i	1
doutores	doutores	1
2	2	3
reprovam	reprovaô	1
procedem	procedem	1
crueza	crueza	1
sei	sei	1
cegueira	cegueira	2
fado	fado	1
infeliz	infelice	1
oráculos	oraculos	1
medicina	medicina	3
mandando	mandando	2
distinção	distinção	1
temperamentos	temperamentos	1
queixando-se	queixandose	1
pesado	pesado	1
vontades	vontades	1
finais	finaes	2
reclamos	reclamos	1
conhecerem	conhecerem	1
necessitam	necessitaõ	2
purgados	purgados	1
cega	cega	1
inconsideradamente	inconsideradamente	1
mandam	mandaõ	4
embargo	embargo	5
mostra	mostra	3
sangram	sangraõ	2
contenda	contenda	1
livram	livraõ	1
milagre	milagre	3
principiantes	principiantes	3
advertir	advertir	7
cometam	commettaõ	1
absurdo	absurdo	1
alguém	alguém	1
alguém	alguem	1
amargores	amargores	4
termos	termos	4
sangrarem	sangrarem	1
matem	matem	2
exporão	exporáõ	1
perigos	perigos	1
confirmação	confirmação	1
confirmação	confirmaçaõ	1
pudera	pudera	2
exemplos	exemplos	3
séculos	seculos	2
passados	passados	1
presentes	presentes	2
escusado	escusado	1
buscar	buscar	1
sobejam	sobejaõ	1
temos	temos	1
casa	casa	15
importuno	importuno	1
infinito	infinito	1
baste	baste	3
mostrarei	mostrarei	1
evidência	evidencia	1
quão	quam	1
errados	errados	1
precipícios	precipicios	1
despenham	despenhaõ	1
cruezas	cruezas	4
reverendo	reverendo	2
padre	padre	4
frei	frey	2
antonio	antonio	3
tancos	tancos	1
religioso	religioso	3
carmelita	carmelita	1
calçado	calçado	1
teve	teve	4
agosto	agosto	2
1665.	1665	1
1665.	.	1
grandíssima	grandissima	1
vários	varios	1
demostravam	demostravaõ	1
procedida	procedida	1
padecia	padecia	4
dianteira	dianteira	1
horrendo	horrendo	1
podia	podia	2
ouvir	ouvir	1
nisso	nisso	1
procedia	procedia	3
carga	carga	3
era	era	20
frade	frade	1
músico	musico	1
costumado	costumado	3
andar	andar	1
festas	festas	1
banquetes	banquetes	1
sedentária	sedentaria	1
regalona	regalona	1
bastantes	bastantes	1
indícios	indícios	1
visita	visita	1
conhecesse	conhecesse	2
convinha	convinha	2
dar-lhe	darlhe	5
onças	onças	9
benedita	benedicta	1
vigorada	vigorada	1
onça	onça	6
angélica	angelica	1
escrópulos	escropulos	1
branco	branco	3
oitavas	oitavas	10
folhas	folhas	6
sene	sene	2
açúcar	agua	1
açúcar	assucar	2
rosado	rosado	4
alexandria	alexandria	2
meus	meus	1
trociscos	trociscos	1
fioravanto	fioravanto	1
pulverizados	polvorizados	1
misturados	misturados	2
galinha	galinha	5
aliviado	aliviado	1
tiraria	tiraria	1
escusariam	escusariaõ	1
bastariam	bastariaõ	1
poucas	poucas	2
chegaria	chegaria	1
3	3	4
escolhesse	escolhesse	1
sangraria	sangraria	1
defuntos	defuntos	1
enterrados	enterrados	1
quis	quiz	2
torto	torto	1
achou	achou	2
pecava	pecava	2
sobreditas	sobreditas	2
purgas	purgas	7
despejar	despejar	1
radicava	radicava	1
enfermidade	enfermidade	6
persuadiu	persuadio	1
ânsias	ancias	4
queixas	queixas	6
procediam	procediaõ	2
fundado	fundado	1
falsa	falsa	1
conjectura	conjectura	1
julgou	julgou	1
deviam	deviaõ	1
antepor	antepor	1
alviducas	alviducas	1
mandou	mandou	1
desgraçado	desgraçado	1
enfermo	enfermo	118
enfermo	enfemo	1
infelizmente	infelizmente	1
tirava	tirava	1
maiores	mayores	4
ardentes	ardentes	2
metia	metia	1
multiplicavam-se	multiplicavaõse	1
vômitos	perturbavaõse	1
vômitos	vomitos	2
cresciam	cresciaõ	1
frialdades	frialdades	1
perturbavam-se	perturbavaõse	1
embaraçava-se	embaraçavase	1
urinava	ourinava	1
sentir-se	sentirse	1
misérias	miserias	1
repetidos	repetidos	1
soluços	soluços	2
moviam	moviaõ	1
compaixão	compaixaõ	1
corações	corações	1
penhascosos	penhascosos	1
aperto	aperto	3
desconfiado	desconfiado	1
chamou	chamou	1
doutor	doutor	2
gregório	gregório	1
jesus	jesus	2
prior	prior	2
convento	convento	3
convento	cõvento	1
dando-me	dandome	1
informação	informaçaõ	1
informar	informar	1
entendi	entendi	3
referidos	referidos	1
confessava	confessava	1
esteve	esteve	2
acordo	acordo	1
sobreditos	sobreditos	4
testemunhavam	testimunhavaõ	1
perguntando	perguntando	1
religiosos	religiosos	2
purgado	purgado	1
responderam	respondéraõ	1
entendera	entendèra	1
origem	origem	1
essa	essa	1
julgara	julgàra	1
convenientes	convenientes	1
confesso	confesso	1
pude	pude	1
achar	achar	1
desculpa	desculpa	1
aumentava	augmentava	1
compasso	compasso	1
repetiam	repetiaõ	1
lembrar-se	lembrarse	1
3.	3	1
aconselha	aconselha	1
suspender	suspender	5
conforme	conforme	7
proveito	proveito	7
dano	damno	2
dano	dano	4
parecia	parecia	2
entendimento	entendimento	1
abraçar	abraçar	1
abominar	abominar	1
excesso	excesso	4
estivessem	estivessem	1
vício	vicio	2
retraídas	retrahidas	1
caiu	cahio	2
mortal	mortal	1
fiquei	fiquei	1
duvidoso	duvidoso	1
resolução	resoluçaõ	2
havia	avia	7
obrar	obrar	6
purgá-lo	purgallo	1
sangrá-lo	sangrallo	1
acrescentar	acrescentar	1
lançar-lhe	lançarlhe	1
lançar-lhe	lançar	1
lançar-lhe	lhe	1
sanguessugas	sanguisugas	1
indicadas	indicadas	1
oculta	occulta	1
angústia	angustia	1
restava	restava	1
rebater	rebater	5
fixar	fixar	2
ateava	ateava	1
virtudes	virtudes	3
juntas	juntas	7
cordial	cordeal	8
cordial	cordial	12
pus	puz	1
temporal	temporal	1
fiado	fiado	2
prodigiosas	prodigiosas	1
curas	curas	1
lho	lho	4
receitei	receitei	2
5	5	2
tomei	tomei	1
pevides	pevides	2
cidra	cidra	2
azeda	azeda	1
raízes	raízes	1
escorcioneira	escorcioneira	4
machucado	machucado	1
mandei	mandei	7
cozesse	cozesse	1
canada	canada	2
comua	commua	1
quartilhos	quartilhos	2
tirasse	tirasse	1
fogo	fogo	4
deitassem	deitassem	2
nela	nella	6
lapata	lapata	1
assucar	assucar	1
deixasse	deixasse	1
quais	quaes	7
ordenei	ordenei	2
coasse	coasse	1
dita	dita	2
expressão	expressaõ	1
faço	faço	2
minha	minha	4
boticários	boticários	1
joão	joão	2
joão	joaõ	4
gomes	gomes	1
silveira	silveira	1
morador	morador	6
chiado	chiado	1
fr	fr	1
manoel	manoel	1
maria	maria	1
boticário	boticario	1
domingos	domingos	1
baptista	baptista	1
leitão	leitaõ	1
paulo	paulo	1
vascolejado	vascolejado	1
revolvido	revolvido	1
fiz	fiz	5
quartilho	quartilho	3
visivelmente	visivelmente	1
aliviando	aliviando	2
brandura	brandura	2
suavidade	suavidade	1
discurso	discurso	1
fez	fez	2
cursos	cursos	11
conhecido	conhecido	1
tanta	tanta	2
diminuição	diminuiçaõ	1
malignos	malignos	5
começou	começou	2
pessoas	pessoas	2
assistiam	assistiaõ	1
respondendo	respondendo	1
acerto	acerto	4
advertência	advertencia	4
perguntavam	perguntavão	1
revelir	revelir	1
vapores	vapores	5
ofendiam	offendiaõ	1
solas	solas	5
escalados	escalados	4
tomaram	tomàraõ	1
fedor	fedor	2
insuportável	insoportavel	1
circunstantes	circunstantes	2
podiam	podiaõ	1
sofrer	sofrer	2
sofrer	soffrer	1
reconheci	reconheci	1
evidente	evidente	2
melhoria	melhoria	2
lhos	lhos	1
fortuna	fortuna	2
misturassem	missturassem	1
óleo	oleo	10
ficasse	ficasse	2
agradavelmente	agradavelmente	1
azedo	azedo	3
incita	incita	1
rebate	rebate	1
corrobora	corrobora	1
reprime	reprime	1
graves	graves	3
autores	authores	5
pudesse	pudesse	2
aproveitar	aproveitar	3
fomentassem	fomentassem	1
teta	teta	1
esquerda	esquerda	1
sovacos	sovacos	1
testículos	testiculos	1
lenimento	lenimento	1
mathiolo	mathiolo	1
banha	banha	1
flor	flor	1
violado	violado	1
sucedidos	succedidos	2
livrou	livrou	2
credito	credito	1
arte	arte	4
gosto	gosto	2
viveu	viveo	2
anos	annos	3
certificar	certificar	1
lembrarão	lembraraõ	1
sucesso	successo	4
7	7	2
admirável	admiravel	3
postos	postos	4
afastar	affastar	1
delírios	delirios	4
escreveram	escrevèraõ	2
romberto	romberto	1
dodoneu	dodoneu	1
falando	fallando	3
seguintes	seguintes	7
palavras	palavras	4
pombo	pombo	2
vivo	vivo	2
escalado	escalado	1
pressa	pressa	1
atado	atado	2
impede	impede	1
subam	subaõ	1
atrai	attrahe	1
subido	subido	1
vence	vence	1
grandíssimas	grandissimas	1
aplaca	aplaca	1
experiências	experiencias	1
mostraram	mostraraõ	1
autor	author	6
louva	louva	3
costumam	costumão	1
costumam	costumaõ	10
sobrevir	sobrevir	2
agostinho	agostinho	1
laurentijs	laurentijs	1
deixa	deixa	1
velhos	velhos	1
plantas	plantas	3
aproveitam	aproveitaõ	2
grandemente	grandemente	1
avexam	avexaõ	1
quentura	quentura	3
chamarão	chamaraõ	1
depravados	depravados	2
venenosos	venenosos	1
acometem	acometem	2
ficando	ficando	2
desafogado	desafogado	1
livra	livra	1
8	8	1
acredita	acredita	1
ferreira	ferreira	2
rosa	rosa	1
dizendo	dizendo	2
revulsórios	revulsorios	1
conservando-os	conservando-os	1
repetindo-os	repetindo-os	1
experimento	experimento	1
aplicam	applicaõ	2
aplicam	aplicaõ	1
alivio	alivio	1
entendo	entendo	1
experimentado	experimentado	1
quererem	quererem	1
cães	cães	1
exalarem	exhalarem	1
intolerável	intoleravel	1
levantasse	levantasse	1
neles	nelles	1
receberam	recebèraõ	1
pestilentos	pestilentes	1
dispõem	applicaõ	1
breves	breves	1
ricardo	ricardo	1
morton	morton	1
apliquem-se	appliquemse	1
daquele	daquelle	2
infante	infante	2
repitam	repitao	1
vigor	vigor	1
mortos	mortos	3
persuade	persuade	1
antepôr	antepôr	1
schrodero	schrodero	2
partido	partido	1
convenientíssimo	convenientissimo	1
aplacar	aplacar	1
frenesis	frenesís	1
atribuo	attribuo	1
louvores	louvores	2
sobredito	sobredito	2
vi	vi	4
fizeram	fizeraõ	2
efeitos	effeitos	1
pareceram	parecèraõ	1
milagrosos	milagrosos	1
mim	mim	4
pusessem	puzessem	1
depenadas	depenadas	1
fariam	fariaõ	1
obras	obras	1
esfriam	esfriaõ	1
atraem	attrahem	1
extinguir	extinguir	4
ardor	ardor	2
impedir	impedir	1
confortar	confortar	1
matar	matar	3
lombrigas	lombrigas	1
gravíssimos	gravissimos	1
utilíssimos	utilissimos	1
asma	asthma	1
mil	mil	1
zacuto	zacuto	1
lusitano	lusitano	1
aproveita	aproveita	1
enjoamentos	enjoamentos	1
conforta	conforta	1
adelgaça	adelgaça	1
infiltrados	infiltrados	1
proveitoso	proveitoso	2
cólicas	colicas	1
frias	frias	5
abre	abre	1
obstruções	obstrucções	1
baço	baço	2
emenda	emenda	1
pestilencial	pestilencial	1
beguino	beguino	1
óleos	oleos	7
dar-se	dar	1
dar-se	se	1
misturado	misturado	4
águas	aguas	1
águas	agoas	1
apropriadas	appropriadas	1
xaropes	xaropes	1
adequados	adequados	1
minderero	minderero	1
obedeça	obedeça	1
tao	tao	1
rendam	rendaõ	1
eficácia	efficacia	1
medicamento	medicamento	2
poderei	poderei	1
proibissem	prohibissem	1
atreveria	atreveria	1
pestilentes	pestilentes	1
alvos	alvos	1
esfregando-os	esfregando-os	1
feridas	feridas	1
procederam	procederam	1
gálico	gallico	1
verrugas	verrugas	1
fístulas	fistulas	1
sesso	sesso	6
infalível	infallivel	1
panarícios	panaricios	1
condição	condição	1
condição	condiçaõ	1
dedo	dedo	3
meter	meter	2
meter	metter	2
possa	possa	11
limão	limaõ	3
assado	assado	5
meterem	meterem	1
panarício	panaricio	1
observei	observei	1
felicissimamente	felicissimamente	1
senhora	senhora	1
visitei	visitei	1
quinta	quinta	2
tive	tive	2
ali	alli	2
fervendo	fervendo	1
repetindo	repetindo	1
esse	esse	1
sarou	sarou	3
misture	misture	2
tanchagem	tanchagem	1
chapeje	chapeje	1
licor	licor	1
infalíveis	infalliveis	1
recolher	recolher	2
pedaço	pedaço	1
camisa	camisa	1
camisa	camiza	9
defunto	defunto	1
crianças	crianças	1
bastou	bastou	1
tornou	tornou	1
lavar	lavar	4
cozida	cozida	9
rosas	rosas	4
balaústias	balaustias	1
murta	murta	2
